代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
0688248,N南科,27.42,1.240196,15.18,0,32,12.24,32.34,25.55,610491.27,1700125786,0.83824183695588,,0.0047601898580775,0.5547385620915,105.46153846154,1996997749.98,15484074000,0.26,51879022.38,736709686.29
1301113,N雅艺,66.66,1.137909,35.48,-0.010262989095574,68.88,31.18,89.4,64.44,124342.65,896473523.73,0.71052942857143,,-0.91844149103783,0.80051314945478,41.403726708075,1166550000,4666200000,1.61,74621600,344068300
1301211,N亨迪,37.32,0.446512,11.52,0.014341085271318,42,25.8,45.5,35.81,389833.67,1576525048.7,0.711795022492,,-0.44994535881048,0.37558139534884,40.129032258065,2043930078.84,8956800000,0.93,99352300,418344000
1301221,N光庭,88.02,0.259408,18.13,0,100,69.89,106.98,87.89,143233.03,1358908393.26,0.67165028482049,,0.44297553937523,0.27314351123194,76.539130434783,1877073766.74,8152614846,1.15,42192957.61,277129959.95
1300148,天舟文化,5.92,0.200811,0.99,0,4.96,4.93,5.92,4.85,1785864.75,1005241988.33,0.21378913431592,1.1770116758383,1,0.21703853955375,-5.4814814814815,4945208910.56,4998488910.56,-1.08,38711225.88,351056316.14
1300534,陇神戎发,10.61,0.200226,1.77,0,9.54,8.84,10.61,9.2,903315.39,920634476.88,0.29778482915492,6.8380766051379,1,0.15950226244344,502.84360189573,3218490450,3218490450,0.0211,-8186791.78,166686957.67
1300261,雅本化学,10.73,0.200224,1.79,0,9.11,8.94,10.73,8.9,1246400.32,1223016366.9,0.12938732126303,2.0317733803849,1,0.20469798657718,55.110426296867,10336310623.83,10336310623.83,0.1947,150752618.61,1604249595.24
1300844,山水比德,82.36,0.200058,13.73,0,69.36,68.63,82.36,69.36,43443.18,346111052.2,0.4301304950495,2.0432695563833,1,0.18942153577153,,831836000,3327344000,0,49921386.4,406329369.21
1300846,首都在线,17.18,0.199721,2.86,0,14.43,14.32,17.18,14.43,469071.54,782085556.96,0.16157449587318,2.4066799039527,1,0.19203910614525,349.18699186992,4987574934.8,7066413638.86,0.0492,17263801.83,909201932.54
0688597,煜邦电力,27.29,0.171245,3.99,0,23.61,23.3,27.96,23.61,76139.06,202880841,0.19481020137467,1.659844521181,-0.40525843757376,0.18669527896996,-909.66666666667,1066594527.77,4815947624.2,-0.03,-4089501.02,180044332.62
1300204,舒泰神,18.71,0.142247,2.33,-0.0073260073260072,16.4,16.38,19.66,16.1,377122.09,685409379.6,0.079221580608654,2.4777540156843,-0.60627746390458,0.21733821733822,-55.029411764706,8906606318.24,8906606318.24,-0.34,-125811196.48,426311803.88
1300709,精研科技,60.85,0.136746,7.32,0.0065383896880254,53.97,53.53,61.77,53.29,106217.40,624440614.96,0.069400392523645,1.5865088184686,0.041274979767167,0.15841584158416,43.464285714286,9313101201.55,9344746487.45,1.4,125985770.61,1721735773.84
0688026,洁特生物,76.85,0.128488,8.75,0,69.1,68.1,77.69,68.38,23015.22,168967102,0.044094617503972,3.7799270792274,-0.060281043877258,0.1367107195301,54.892857142857,4011191744.3,7685000000,1.4,150928316.74,632192004.71
1300068,南都电源,15.45,0.126915,1.74,-0.0036469730123998,13.69,13.71,15.54,13.66,1019731.14,1519826491.91,0.11848909550511,2.2166526241653,-0.95781574981108,0.13712618526623,-16.436170212766,13296452340.9,13296452340.9,-0.94,-69286786.29,10098472016.02
1300566,激智科技,28.68,0.126473,3.22,-0.0043205027494108,25.46,25.46,29.35,25.46,124673.39,351616742.5,0.053241036290849,4.9346676007726,-0.36000509448681,0.15278868813826,39.287671232877,6715933938,7516679538,0.73,102563473.71,1333045731.63
1300088,长信科技,13.06,0.119109,1.39,0.0025706940874037,11.68,11.67,13.74,11.65,2373109.36,3062963376.78,0.096669945303741,2.7549651634282,-0.019794019157386,0.17909168808912,38.513712769095,32060438375.36,32060438375.36,0.3391,799455870.53,5082261575.76
1300755,华致酒行,50.8,0.115258,5.25,-0.0030735455543359,45.4,45.55,51.17,45.4,77833.71,382051439.98,0.064970575566952,2.2432532683129,0.22367672168469,0.12667398463227,33.421052631579,6085758720,21173358720,1.52,580968903.96,5971878208.58
0688501,青达环保,19.98,0.110617,1.99,0,17.99,17.99,21.11,17.7,70214.14,138899601,0.32636316449579,3.5188707802101,-0.037793204238217,0.18954974986103,153.69230769231,429851977.74,1891506600,0.13,11965690.66,282922986.78
1300483,首华燃气,19.3,0.110472,1.92,-0.001150747986191,18.21,17.38,20.86,18.21,221281.98,434408828.18,0.096095505779608,3.5053349427822,-0.75077881619938,0.15247410817031,43.764172335601,4444268417.5,5182662118.8,0.441,72136739.15,1276424696.03
1300636,同和药业,24.59,0.107658,2.39,0.00045045045045052,22.39,22.2,25.83,22.21,131777.53,319699557.15,0.064011865101865,1.8071124330788,-0.50124688279302,0.16306306306306,62.048952813525,5062201292.75,5062201292.75,0.3963,66546682.94,428000452.07
1300627,华测导航,44.77,0.106525,4.31,-0.000247157686604,40.64,40.46,45.67,40.15,53685.20,234834707.69,0.01553407663712,3.9174839462931,-0.77654077133337,0.13643104300544,58.707054812484,15472348052.26,16947898306.46,0.7626,177302807.59,1269075560.13
1300703,创源股份,12.35,0.102679,1.15,-0.00089285714285712,11.2,11.2,12.41,11.2,120897.10,144849198.9,0.06642710941626,1.9753653451499,-0.51886488229603,0.10803571428571,106.8339100346,2247695554,2257904558,0.1156,19544111.8,1040262144.08
1002495,佳隆股份,3.14,0.101754,0.29,0,2.85,2.85,3.14,2.69,1628933.39,478464267.28,0.17410098547966,6.7742159636831,1,0.15789473684211,88.951841359773,2937864384,2937864384,0.0353,18670545.5,210508066.89
1002445,中南文化,3.47,0.101587,0.32,0,3.14,3.15,3.47,3.11,937550.49,311683597.64,0.039369028486425,1.8471659203533,1,0.11428571428571,5.9827586206897,8263602952.31,8299089108.57,0.58,371229290.12,319695523.83
0600617,国新能源,4.79,0.101149,0.44,0,4.39,4.35,4.79,4.39,505954.27,239270314,0.051897304939028,5.2925858396934,0.95523316844667,0.091954022988506,-20.664365832614,4669839707.76,6600591863.54,-0.2318,-92649938.76,6671828128.16
1002316,亚联发展,5.01,0.101099,0.46,0,4.77,4.55,5.01,4.63,277497.00,135923206,0.088060738766184,2.1166819221968,1,0.083516483516483,-3.7452343574793,1578751200,1969531200,-1.3377,-77777141.73,1572608057.96
1000863,三湘印象,4.03,0.101093,0.37,0,3.89,3.66,4.03,3.66,761678.63,303291434.9,0.06216728347614,1.9743082080855,1,0.10109289617486,10.891891891892,4937588884.8,4937588884.8,0.37,321951457.1,2777144758.36
0600159,大龙地产,4.25,0.101036,0.39,0,4.25,3.86,4.25,4.06,1096005.95,465267977,0.13204839544528,2.0590623614461,1,0.049222797927461,23.035230352304,3527513736,3527513736,0.1845,89153487.61,653615802.31
1002247,聚力文化,3.82,0.100865,0.35,0,3.82,3.47,3.82,3.34,2244602.84,834376342.82,0.33420146045615,12.351115703935,0.83770995978235,0.13832853025937,47.75,2565632967.94,3250323587.18,0.08,67216739.95,870246488.05
1002109,兴化股份,6.01,0.100733,0.55,0,5.74,5.46,6.01,5.74,377064.49,225082789.92,0.035810471160421,4.1841381705682,1,0.049450549450549,10.363855837213,6328198181.89,6328198181.89,0.5799,484692253.19,2216415351.78
0603023,威帝股份,6.34,0.100694,0.58,0,6.34,5.76,6.34,6.34,22920.75,14531756,0.0040778461909769,0.38360831057198,1,0,561.06194690265,3563585976.38,3563585976.38,0.0113,754657.63,39146766.66
0600463,空港股份,7.11,0.100619,0.65,0,7.11,6.46,7.11,7.11,40076.48,28494377,0.013358826666667,1.3232849935283,0.99371592206459,0,41.725352112676,2133000000,2133000000,0.1704,15195997.99,809852091.99
