代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
1300237,美晨生态,3.29,0.20073,0.55,0,2.74,2.74,3.29,2.71,2300007.43,702105433.43,0.15828579882775,4.0647951526591,1,0.21167883211679,-44.822888283379,4780608557.9,4780608557.9,-0.0734,-160475371.94,1544022547.66
1300917,特发服务,33.18,0.2,5.53,0,27.9,27.65,33.18,27.9,81753.07,259152075.02,0.12270629643527,2.8603391692557,1,0.19095840867993,16.788099574985,2210617500,4313400000,1.9764,85333083.45,1222101912.54
1301178,天亿马,77.47,0.199969,12.91,0,65.5,64.56,77.47,65.5,42622.88,314207676.84,0.36188554932926,1.5037708156929,1,0.18540892193309,184.45238095238,912441660,3649766640,0.42,14691347.86,234762288.71
0688533,上声电子,56.53,0.199958,9.42,0,48.5,47.11,56.53,47.45,57976.55,305199998,0.16802069808959,1.6020224042266,1,0.19274039482063,182.35483870968,1950601568,9044800000,0.31,44321490.06,917138159.67
1300081,恒信东方,20.41,0.199882,3.4,0,17.15,17.01,20.41,17.1,1321654.97,2496871018.73,0.25185755899394,1.0891975561981,1,0.19459141681364,-24.748393355159,10710410299.16,12480935774.97,-0.8247,22942405.93,391141971.92
1300235,方直科技,17.3,0.199723,2.88,0,14.96,14.42,17.3,14.85,461875.01,779378378.34,0.27520229416373,1.7714115373877,1,0.16990291262136,150.82824760244,2903477857,2903477857,0.1147,25376143.25,89865982.6
1300534,陇神戎发,8.84,0.199457,1.47,0,7.8,7.37,8.84,7.28,781725.18,622035399.83,0.25770168619888,5.9176415282875,1,0.21166892808684,418.95734597156,2681569800,2681569800,0.0211,-8186791.78,166686957.67
0688606,奥泰生物,133.45,0.184327,20.77,-0.0038161164359248,112.01,112.68,135.22,111.8,28657.74,363407459,0.21958045944513,13.150578193833,-0.64505884550719,0.20784522541711,13.944618599791,1741673832.3,7193508150.25,9.57,482315234,996856109.41
1300650,太龙股份,36.33,0.155902,4.9,0.004772510340439,30.25,31.43,37.6,30.25,174872.63,604079307.67,0.1628970877006,2.409510444224,0.79633096218645,0.23385300668151,30.529411764706,3900083628,4671109368.87,1.19,110232714.85,3977087854.69
1300270,中威电子,7.5,0.155624,1.01,0,6.44,6.49,7.79,6.44,515506.44,392792249.5,0.1702431234295,11.413696264414,-0.074466845356019,0.20801232665639,-18.085362912949,2271045210,2271045210,-0.4147,-24214208.26,157896811.66
1300935,盈建科,63.84,0.129912,7.34,-0.00053097345132733,56.52,56.5,67.8,56.52,28263.61,182869324.76,0.20002554847841,8.6338007086999,0.030837004405286,0.19964601769911,41.454545454545,902059200,3607279200,1.54,12850628.02,106833775.58
1300635,中达安,18,0.127113,2.03,0.0031308703819662,15.86,15.97,19.16,15.86,107477.95,187480133.2,0.078841236190784,6.3056152022904,0.44903988183161,0.20663744520977,79.435127978817,2453796000,2453796000,0.2266,31270508.85,439801868.05
1300552,万集科技,36.5,0.123768,4.02,0,32.48,32.48,38.33,32.24,135894.86,489533596.14,0.068668164184464,2.3232750013677,0.68852404596262,0.1875,34.11214953271,7223379930,7224398280,1.07,67137727.14,683394063.25
1300556,丝路视觉,31.99,0.103484,3,0.002069679199724,29.48,28.99,34.79,28.95,254539.32,822453636.37,0.21683797457627,1.5339608041655,0.37797619047619,0.20144877543981,69.048132959206,3755206099.26,3818866231.25,0.4633,41661827.33,880428224.38
1000046,泛海控股,2.15,0.102564,0.2,0,1.95,1.95,2.15,1.92,1295651.71,269020302.41,0.024934597329376,2.8385775911174,1,0.11794871794872,-1.9258330347546,11171831410.4,11171831410.4,-1.1164,-1791598606.54,6306125345.38
0600162,香江控股,2.26,0.102439,0.21,0,2.04,2.05,2.26,2.04,1187076.17,263856743,0.034957378634862,5.8393354603482,1,0.10731707317073,14.937210839392,7674466018.24,7674466018.24,0.1513,218902889.42,3561505870.06
1000732,泰禾集团,2.59,0.102128,0.24,0,2.35,2.35,2.59,2.32,1989089.33,496371760.16,0.079918364706318,4.2024552941375,1,0.11489361702128,-1.7013729225514,6446254729.6,6446254729.6,-1.5223,-762191784.08,1581705959.57
0600077,宋都股份,2.92,0.101887,0.27,0,2.73,2.65,2.92,2.67,562937.46,160205844,0.042006423524057,1.9023916023229,1,0.094339622641509,15.368421052632,3913157191.92,3913157191.92,0.19,60856881.57,4704442330.02
0600853,龙建股份,2.92,0.101887,0.27,0,2.68,2.65,2.92,2.64,488281.93,138464746,0.04859002674875,4.7145294565201,1,0.10566037735849,13.991375179684,2934312514.32,2934312514.32,0.2087,145921810.05,11065407635.77
1002348,高乐股份,2.38,0.101852,0.22,0,2.17,2.16,2.38,2.13,453571.40,105282402,0.047885494087838,1.290902208561,1,0.11574074074074,-11.764705882353,2254336000,2254336000,-0.2023,-39888501.95,340273696.05
1000008,神州高铁,2.71,0.101626,0.25,0,2.43,2.46,2.71,2.35,1128751.40,287332999.33,0.040590955448183,4.2332029714704,1,0.14634146341463,-10,7535955387.66,7535955387.66,-0.271,-98556630.09,1042818140.68
0601588,北辰实业,2.71,0.101626,0.25,0,2.46,2.46,2.71,2.45,1412675.77,371628332,0.053108111654135,6.4635367824422,1,0.10569105691057,27.65306122449,7208600000,9124624200,0.098,302317371,17193994904
