代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
0688167,N炬光,192,1.439954,113.31,0,210,78.69,230,188.88,142823.92,2886400324,0.73927865733868,,-0.0045353746149724,0.52255686872538,355.55555555556,3709317504,17272320000,0.54,56895807.88,342894449.21
0603230,N新华,16.06,0.440359,4.91,0,13.38,11.15,16.06,13.38,30640.85,49070797,0.034669046514522,,1,0.24035874439462,21.131578947368,1419398860,5677579380,0.76,267637732.92,1327140772.52
1001296,N长江,36.81,0.440141,11.25,0,30.67,25.56,36.81,30.67,5661.00,20734609.86,0.027547445255474,,1,0.24021909233177,18.974226804124,756445500,3025760282.1,1.94,80351838.41,685322903.74
1301190,N善水,37.46,0.345063,9.61,0.0035906642728905,37,27.85,44,37,322373.56,1249708780.29,0.63345157619078,,0.41382316156499,0.25134649910233,29.496062992126,1906398849.02,8040283290,1.27,94506633.28,385680466.47
1300436,广生堂,38.74,0.200124,6.46,0,32,32.28,38.74,31.98,47276.99,176792610.61,0.033769278571429,5.0124035199321,1,0.2094175960347,-273.39449541284,5423600000,6151020980,-0.1417,-20531919.56,271061517.02
1300534,陇神戎发,11.76,0.2,1.96,0,9.49,9.8,11.76,9.2,897289.44,940984296.59,0.29579832863571,1.44540210777,1,0.26122448979592,557.34597156398,3567337200,3567337200,0.0211,-8186791.78,166686957.67
1300026,红日药业,5.35,0.199552,0.89,0,4.64,4.46,5.35,4.64,4545615.14,2375825763.32,0.15131094722599,8.2176601368159,1,0.15919282511211,26.75,16072228377.95,16072228377.95,0.2,637084718.25,5486439217.46
1300622,博士眼镜,28.65,0.165582,4.07,0.0016273393002441,24.97,24.58,28.92,24.69,93602.93,257741351.16,0.054835215931597,2.2365650208357,0.058555805725314,0.17209113100081,45.239223117006,4890514059.15,4935494559.15,0.6333,65058586.19,662711426.18
0688555,泽达易盛,33.2,0.158005,4.53,0,29.78,28.67,33.98,28.67,61927.31,192863473,0.1515174669818,4.3199474021988,0.68846310465291,0.18521102197419,39.52380952381,1356930480,2759252000,0.84,36219981.32,212288770.82
1300181,佐力药业,9.94,0.129545,1.14,0,8.77,8.8,10.5,8.75,955543.25,939777354.93,0.15700036781936,4.0677478170103,-0.16479179001381,0.19886363636364,38.304431599229,6049730989.12,6049730989.12,0.2595,131517334.58,1078467685.23
2830946,森萱医药,8.54,0.126649,0.96,0,7.84,7.58,8.9,7.82,137374.05,116056447.62,0.16865610424651,5.1629104471722,-0.064111419606781,0.14248021108179,27.881162259223,695601497.64,3645882623.6,0.3063,98386223.37,397744647.74
1300519,新光药业,19.33,0.105835,1.85,-0.00057208237986279,17.44,17.48,20.67,17.25,185209.15,354824580.44,0.11575571875,2.8017164960306,0.01549463647199,0.19565217391304,27.614285714286,3092800000,3092800000,0.7,87978147.82,246270270.66
0688159,有方科技,29.35,0.105461,2.8,0,27.88,26.55,31.2,27.41,78020.48,228576799,0.12462053225482,5.1707544668893,0.07028257823447,0.14274952919021,-60.366104483752,1837499043.35,2690793178.25,-0.4862,-10312183.59,684802692.65
0600255,鑫科材料,2.6,0.101695,0.24,0,2.41,2.36,2.6,2.41,2921440.93,754803507,0.16509106974002,8.2924053201901,0.96955762163899,0.080508474576271,86.666666666667,4600943243,4678813243,0.03,63625753.18,2431079105.8
1000607,华媒控股,5.01,0.101099,0.46,0,4.67,4.55,5.01,4.58,362301.41,177236482.22,0.040928448306576,0.66777663133713,1,0.094505494505494,-19.269230769231,4434886098.06,5098669034.1,-0.26,77748674.04,1359418292.55
0600778,友好集团,4.91,0.100897,0.45,0,4.45,4.46,4.91,4.31,180825.58,86008577,0.058103127600434,3.9889872758718,0.94628087743078,0.13452914798206,-11.588388010385,1528065070.62,1529422538.32,-0.4237,6102915.07,1536367476.5
1002235,安妮股份,5.57,0.100791,0.51,0,5.09,5.06,5.57,5.09,716470.25,386159053.48,0.12477040312978,1.6349078617575,1,0.094861660079051,-6.2640575798471,3198466296.81,3228217621.88,-0.8892,16817540.99,266069958.86
1000665,湖北广电,7.65,0.100719,0.7,0,6.67,6.95,7.65,6.67,1331883.95,1000032799.71,0.13564427999449,0.9054448011247,1,0.1410071942446,-9.2168674698795,7511494194.9,7511494194.9,-0.83,-196652247.82,1500838258.59
0600128,弘业股份,7.98,0.10069,0.73,0,7.56,7.25,7.98,7.56,108337.73,86052307,0.0439027546172,1.3684397136246,0.99133431046872,0.057931034482759,99.007444168734,1969204650,1969204650,0.0806,20079450.19,3538988842.02
1000976,华铁股份,5.03,0.100656,0.46,0,4.62,4.57,5.03,4.57,909487.36,443347693.97,0.056996894505328,4.237663591464,1,0.10065645514223,14.890467732386,8026264343.88,8026264343.88,0.3378,365172498.48,1815242811.96
