日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,1300300,海峡创新,4.67,-0.004264,-0.02,0.0042643923240937,4.69,4.69,4.74,4.62,129591.52,60696458.47,0.019301774862205,1.0295042167947,0.40345632410782,0.025586353944563,-8.6162361623616,3135423569.7,3135423569.7,-0.542,-71331451.42,361919422.9
2021-12-21,1300300,海峡创新,4.87,0.042827,0.2,0,4.69,4.67,4.88,4.69,247578.06,118741435.7,0.036875066940657,1.8390117481371,-0.77749247046104,0.0406852248394,-8.9852398523985,3269702951.7,3269702951.7,-0.542,-71331451.42,361919422.9
2021-12-22,1300300,海峡创新,4.92,0.010267,0.05,-0.0041067761806982,4.93,4.87,5.08,4.84,315425.10,156450997.34,0.046980421759761,2.3429800869968,-0.053334474788117,0.049281314168378,-9.0774907749077,3303272797.2,3303272797.2,-0.542,-71331451.42,361919422.9
2021-12-23,1300300,海峡创新,4.75,-0.034553,-0.17,-0.0020325203252032,4.88,4.92,4.97,4.74,190201.18,91890658.65,0.028329171190258,0.96272417870318,0.3876701553694,0.046747967479675,-8.7638376383764,3189135322.5,3189135322.5,-0.542,-71331451.42,361919422.9
2021-12-24,1300300,海峡创新,4.72,-0.006316,-0.03,0,4.77,4.75,4.81,4.66,118851.63,55948273.23,0.017702141345869,0.57590520299108,0.05893430975753,0.031578947368421,-8.7084870848708,3168993415.2,3168993415.2,-0.542,-71331451.42,361919422.9
2021-12-27,1300300,海峡创新,4.75,0.006356,0.03,0.0021186440677966,4.73,4.72,4.78,4.66,97226.83,45970799.88,0.014481274571252,0.48533819535961,-0.092215397259681,0.025423728813559,-8.7638376383764,3189135322.5,3189135322.5,-0.542,-71331451.42,361919422.9
2021-12-28,1300300,海峡创新,4.83,0.016842,0.08,0,4.78,4.75,4.88,4.72,115678.18,55784181.87,0.017229477567896,0.59672466872181,-0.21714745666448,0.033684210526316,-8.9114391143911,3242847075.3,3242847075.3,-0.542,-71331451.42,361919422.9
2021-12-29,1300300,海峡创新,4.77,-0.012422,-0.06,0.0020703933747412,4.8,4.83,4.85,4.7,109958.46,52361311.92,0.016377564204161,0.65656876513664,-0.17624688580344,0.031055900621118,-8.8007380073801,3202563260.7,3202563260.7,-0.542,-71331451.42,361919422.9
