日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,0603959,百利科技,16.64,-0.031995,-0.55,0,17.26,17.19,17.29,16.55,55569.71,93472372,0.011333841371634,0.90343149687203,0.65787234042553,0.04304828388598,406.84596577017,8158575226.88,8158575226.88,0.0409,48425838.39,650547012.2
2021-12-21,0603959,百利科技,16.97,0.019832,0.33,-0.00060096153846163,16.86,16.64,17.2,16.71,46266.90,78292586,0.0094364664735024,0.8123156497556,-0.62675604659342,0.029447115384615,414.91442542787,8320373894.24,8320373894.24,0.0409,48425838.39,650547012.2
2021-12-22,0603959,百利科技,16.72,-0.014732,-0.25,0,16.97,16.97,16.99,16.59,41804.95,69736181,0.0085264197320642,0.73397645232878,0.44116467014386,0.023571007660577,408.80195599022,8197799146.24,8197799146.24,0.0409,48425838.39,650547012.2
2021-12-23,0603959,百利科技,16.65,-0.002397,-0.04,0,16.6,16.69,16.84,16.4,35939.05,59831739,0.0073300273070926,0.73704799757182,-0.29285014691479,0.02636309167166,407.09046454768,8163478216.8,8163478216.8,0.0409,48425838.39,650547012.2
2021-12-24,0603959,百利科技,16.22,-0.025826,-0.43,0,16.75,16.65,16.76,16.12,49020.52,80086558,0.0099980870448129,1.059344259461,0.17684306442521,0.038438438438438,396.57701711491,7952649650.24,7952649650.24,0.0409,48425838.39,650547012.2
2021-12-27,0603959,百利科技,16.37,0.00987,0.16,-0.001850709438618,16.25,16.21,16.58,16.03,51946.40,84637783,0.010594841280033,1.1316115090361,0.34962089300758,0.033929673041332,400.24449877751,8026194499.04,8026194499.04,0.0409,48425838.39,650547012.2
2021-12-28,0603959,百利科技,16.28,-0.005498,-0.09,0,16.35,16.37,16.57,16.19,32620.60,53486159,0.0066532056015322,0.7226667730044,0.04270462633452,0.023213194868662,398.04400977995,7982067589.76,7982067589.76,0.0409,48425838.39,650547012.2
2021-12-29,0603959,百利科技,16,-0.017199,-0.28,0,16.28,16.28,16.39,15.97,47140.87,75947619,0.0096147189305256,1.1100954655062,-0.65407983395832,0.025798525798526,391.19804400978,7844783872,7844783872,0.0409,48425838.39,650547012.2
