日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,1002678,珠江钢琴,6.74,0.001486,0.01,-0.0014858841010401,6.73,6.73,6.77,6.72,14447.20,9737513.8,0.0010636077334168,0.80006202374623,-0.22258107039283,0.0074294205052006,37.444444444444,9155078977.02,9155078977.02,0.18,159681428.91,1577494276.75
2021-12-21,1002678,珠江钢琴,6.85,0.01632,0.11,0.002967359050445,6.77,6.74,6.85,6.73,27677.30,18856019.6,0.002037612154611,1.7097417840376,0.1878842770801,0.017804154302671,38.055555555556,9304494212.55,9304494212.55,0.18,159681428.91,1577494276.75
2021-12-22,1002678,珠江钢琴,6.99,0.020438,0.14,0.0014598540145985,6.87,6.85,7.08,6.83,52889.40,36750385.72,0.0038937354543285,3.2671979243884,-0.15204772653983,0.036496350364964,38.833333333333,9494659057.77,9494659057.77,0.18,159681428.91,1577494276.75
2021-12-23,1002678,珠江钢琴,7,0.001431,0.01,0.0042918454935623,6.99,6.99,7.03,6.86,41801.50,29011534.1,0.003077440519161,1.6337390176031,-0.67948910083105,0.024320457796853,38.888888888889,9508242261,9508242261,0.18,159681428.91,1577494276.75
2021-12-24,1002678,珠江钢琴,7.02,0.002857,0.02,0.0057142857142856,6.98,7,7.02,6.86,31472.25,21790342.3,0.0023169976526958,1.0399236716891,0.35316375079609,0.022857142857143,39,9535408667.46,9535408667.46,0.18,159681428.91,1577494276.75
2021-12-27,1002678,珠江钢琴,7,-0.002849,-0.02,-0.0014245014245014,7,7.02,7.15,6.92,34892.10,24561198.2,0.0025687681623534,1.0367521215147,0.020340390203404,0.032763532763533,38.888888888889,9508242261,9508242261,0.18,159681428.91,1577494276.75
2021-12-28,1002678,珠江钢琴,6.98,-0.002857,-0.02,0.0028571428571429,7.01,7,7.01,6.92,21336.15,14841831.7,0.0015707745543317,0.56527389203281,-0.053208996160176,0.012857142857143,38.777777777778,9481075854.54,9481075854.54,0.18,159681428.91,1577494276.75
2021-12-29,1002678,珠江钢琴,7.02,0.005731,0.04,0.0085959885386819,7.02,6.98,7.05,6.93,23723.50,16585470.8,0.001746532065986,0.65035802794043,-0.18240978110826,0.017191977077364,39,9535408667.46,9535408667.46,0.18,159681428.91,1577494276.75
