日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,1002351,漫步者,11.62,-0.019409,-0.23,0,11.84,11.85,11.86,11.6,47438.70,55471184.84,0.0053355445407583,0.64257095022919,0.10502972476079,0.021940928270042,29.979360165119,10331423340,10331423340,0.3876,254184799.19,1666474884.05
2021-12-21,1002351,漫步者,11.77,0.012909,0.15,0.00086058519793458,11.6,11.62,11.81,11.55,31440.13,36917190.78,0.0035361469429439,0.50396453668795,-0.63470029131369,0.022375215146299,30.366357069143,10464789390,10464789390,0.3876,254184799.19,1666474884.05
2021-12-22,1002351,漫步者,12.08,0.026338,0.31,0.00084961767204756,11.86,11.77,12.1,11.73,76172.81,91336106.77,0.0085673389142139,1.220999878177,-0.50492845786963,0.03143585386576,31.166150670795,10740412560,10740412560,0.3876,254184799.19,1666474884.05
2021-12-23,1002351,漫步者,11.97,-0.009106,-0.11,0,12.07,12.08,12.09,11.77,62643.00,74609041.09,0.0070456086837692,1.196810949608,0.26914553065747,0.026490066225166,30.882352941176,10642610790,10642610790,0.3876,254184799.19,1666474884.05
2021-12-24,1002351,漫步者,11.78,-0.015873,-0.19,0,12.02,11.97,12.02,11.76,35787.50,42496042,0.0040251060895933,0.64809884967548,0.68001208641789,0.02172096908939,30.392156862745,10473680460,10473680460,0.3876,254184799.19,1666474884.05
2021-12-27,1002351,漫步者,11.82,0.003396,0.04,0,11.78,11.78,11.96,11.7,32442.62,38362093.34,0.0036488994013094,0.63995447300731,0.34592837602112,0.022071307300509,30.495356037152,10509244740,10509244740,0.3876,254184799.19,1666474884.05
2021-12-28,1002351,漫步者,11.84,0.001692,0.02,0.0016920473773265,11.85,11.82,11.9,11.79,25189.00,29779492,0.0028330673361024,0.52812442342206,0.27861035422343,0.0093062605752962,30.546955624355,10527026880,10527026880,0.3876,254184799.19,1666474884.05
2021-12-29,1002351,漫步者,11.7,-0.011824,-0.14,-0.0016891891891893,11.87,11.84,11.88,11.68,32914.50,38608885,0.003701972878405,0.70867998139727,-0.027518172377985,0.016891891891892,30.185758513932,10402551900,10402551900,0.3876,254184799.19,1666474884.05
