日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,0600243,青海华鼎,4.76,0.004219,0.02,0,4.7,4.74,4.99,4.62,160929.00,76802968,0.03667061638373,1.3584082897776,-0.14342629482072,0.078059071729958,244.10256410256,2088926000,2088926000,0.0195,-18822766.54,429238748.04
2021-12-21,0600243,青海华鼎,4.78,0.002096,0.01,0.0020964360587004,4.66,4.77,4.81,4.62,119009.60,56332099,0.027118514298735,0.90990941397386,-0.20083246618106,0.039832285115304,245.12820512821,2097703000,2097703000,0.0195,-18822766.54,429238748.04
2021-12-22,0600243,青海华鼎,4.73,-0.01046,-0.05,0,4.83,4.78,4.89,4.72,99572.00,47613820,0.022689301583685,0.76129572881688,-0.074865532780927,0.035564853556485,242.5641025641,2075760500,2075760500,0.0195,-18822766.54,429238748.04
2021-12-23,0600243,青海华鼎,4.7,-0.020833,-0.1,0,4.78,4.8,4.78,4.67,81207.40,38159911,0.018504591546086,0.5925402190156,-0.30192502532928,0.022916666666667,241.02564102564,2062595000,2062595000,0.0195,-18822766.54,429238748.04
2021-12-24,0600243,青海华鼎,4.68,-0.004255,-0.02,0,4.68,4.7,4.72,4.54,119451.52,55210199,0.027219213854392,0.99840457897869,0.14296477679412,0.038297872340425,240,2053818000,2053818000,0.0195,-18822766.54,429238748.04
2021-12-27,0600243,青海华鼎,4.71,0.00641,0.03,0.0021367521367521,4.76,4.68,4.99,4.64,160926.76,76665783,0.036670105958756,1.3682572882232,0.19250325671303,0.074786324786325,241.53846153846,2066983500,2066983500,0.0195,-18822766.54,429238748.04
2021-12-28,0600243,青海华鼎,4.65,-0.012739,-0.06,0,4.62,4.71,4.87,4.52,171333.00,79751794,0.039041358095021,1.4594151197972,0.23076923076923,0.074309978768578,238.46153846154,2040652500,2040652500,0.0195,-18822766.54,429238748.04
2021-12-29,0600243,青海华鼎,4.54,-0.019438,-0.09,0,4.59,4.63,4.6,4.52,102460.00,46589998,0.023347385211348,0.79917009858979,0.56846846846847,0.017278617710583,232.82051282051,1992379000,1992379000,0.0195,-18822766.54,429238748.04
