日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,1002599,盛通股份,6.82,0.1,0.62,0,6.2,6.2,6.82,6.11,504109.66,329534725.31,0.092963495330938,1.9200315517488,1,0.11451612903226,-12.62962962963,3698255825,3698255825,-0.54,70443178.5,1832163011.19
2021-12-21,1002599,盛通股份,6.87,0.007331,0.05,-0.002932551319648,6.97,6.82,7.42,6.76,1008114.63,715279420.42,0.18590768464753,3.3270319319145,-0.22663077613279,0.096774193548387,-12.722222222222,3725369137.5,3725369137.5,-0.54,70443178.5,1832163011.19
2021-12-22,1002599,盛通股份,7.01,0.020378,0.14,0.0029112081513828,7.04,6.87,7.11,6.67,583551.01,401122443.19,0.10761337442631,1.9258651609599,0.46809416372228,0.064046579330422,-12.981481481481,3801286412.5,3801286412.5,-0.54,70443178.5,1832163011.19
2021-12-24,1002599,盛通股份,6.31,-0.036641,-0.24,-0.0030534351145039,6.6,6.55,6.63,6.3,301897.80,193132919.58,0.05567335234306,0.52913729135819,0.36454689060576,0.050381679389313,-11.685185185185,3421700037.5,3421700037.5,-0.54,70443178.5,1832163011.19
2021-12-27,1002599,盛通股份,6.38,0.011094,0.07,0.0015847860538827,6.3,6.31,6.49,6.28,199261.04,127091529.14,0.036745978566802,0.34482723771393,-0.31957788966302,0.033280507131537,-11.814814814815,3459658675,3459658675,-0.54,70443178.5,1832163011.19
2021-12-28,1002599,盛通股份,6.73,0.054859,0.35,-0.0094043887147335,6.44,6.38,7.02,6.33,621008.84,422086382.64,0.11452101988645,1.2014379130489,-0.48206998128241,0.10815047021944,-12.462962962963,3649451862.5,3649451862.5,-0.54,70443178.5,1832163011.19
2021-12-29,1002599,盛通股份,7.4,0.099554,0.67,0,6.87,6.73,7.4,6.87,386308.60,278916876.5,0.071239653952279,0.87904012684474,1,0.078751857355126,-13.703703703704,4012770250,4012770250,-0.54,70443178.5,1832163011.19
