日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,1002433,太安堂,6.34,0.030894,0.19,0.0016260162601626,6.12,6.15,6.37,6.11,261063.88,164414609.28,0.034047079371058,1.3269001032797,-0.42065589058129,0.042276422764228,9.0571428571429,4861342088,4861342088,0.7,552732561.75,1446213850.11
2021-12-21,1002433,太安堂,6.32,-0.003155,-0.02,0,6.35,6.34,6.35,6.19,207612.88,129876112.76,0.027076178457985,1.0847884062333,-0.32795291389843,0.025236593059937,9.0285714285714,4846006624,4846006624,0.7,552732561.75,1446213850.11
2021-12-22,1002433,太安堂,6.79,0.074367,0.47,0.0015822784810126,6.3,6.32,6.84,6.27,680795.65,455406613.71,0.08878709506279,3.5571936969135,-0.65423207591478,0.090189873417722,9.7,5206390028,5206390028,0.7,552732561.75,1446213850.11
2021-12-23,1002433,太安堂,6.62,-0.025037,-0.17,0,6.69,6.79,6.78,6.6,351627.33,234019502.88,0.045858062071027,1.1723443263745,0.46200896706048,0.026509572901326,9.4571428571429,5076038584,5076038584,0.7,552732561.75,1446213850.11
2021-12-24,1002433,太安堂,6.96,0.05136,0.34,0.0015105740181269,6.63,6.62,7.13,6.53,813290.81,562983948.34,0.10606667134428,2.3949338904791,-0.35908876555302,0.090634441087613,9.9428571428571,5336741472,5336741472,0.7,552732561.75,1446213850.11
2021-12-27,1002433,太安堂,7.4,0.063218,0.44,0,7.02,6.96,7.46,6.9,745131.38,541932912.62,0.097177546111419,1.6097861630329,-0.027499041288508,0.080459770114942,10.571428571429,5674121680,5674121680,0.7,552732561.75,1446213850.11
2021-12-29,1002433,太安堂,6.91,-0.024011,-0.17,-0.0042372881355933,6.97,7.08,7.32,6.91,511740.38,363420247.86,0.066739471332592,0.81552667678943,0.63182196654303,0.057909604519774,9.8714285714286,5298402812,5298402812,0.7,552732561.75,1446213850.11
