日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,0600698,湖南天雁,7.47,0.100147,0.68,0,6.92,6.79,7.47,6.5,1857793.92,1338739586,0.25187856735899,1.0640534555447,0.52095262883915,0.14285714285714,1149.2307692308,5509686960.63,7951142939.04,0.0065,158961.26,462864860.76
2021-12-21,0600698,湖南天雁,8,0.07095,0.53,-0.020080321285141,7,7.47,8.21,6.72,2012587.54,1493887476,0.27286539201278,1.1166852541593,-0.91230339284477,0.19946452476573,1230.7692307692,5900601832,8515280256,0.0065,158961.26,462864860.76
2021-12-27,0600698,湖南天雁,5.88,0.008576,0.05,0.0051457975986278,5.61,5.83,5.88,5.42,1024393.92,577437173,0.13888670331145,0.75565737270447,0.64439197445635,0.078902229845626,904.61538461538,4336942346.52,6258730988.16,0.0065,158961.26,462864860.76
2021-12-29,0600698,湖南天雁,5.32,0.001883,0.01,0,5.26,5.31,5.44,5.21,611344.78,326850434,0.082885752661306,0.61640820354722,0.19368839365723,0.04331450094162,818.46153846154,3923900218.28,5662661370.24,0.0065,158961.26,462864860.76
