日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,1003016,欣贺股份,10.5,0.002865,0.03,0,10.45,10.47,10.53,10.4,17807.00,18647197.56,0.012230527622228,0.62454405162738,-0.38231917336395,0.012416427889207,14.389475126764,1528744350,4531786350,0.7297,245319132.27,1506745128.54
2021-12-21,1003016,欣贺股份,10.66,0.015238,0.16,0.00095238095238093,10.51,10.5,10.69,10.46,36752.88,39000079.6,0.02524328152055,1.530910726782,-0.16462938881664,0.021904761904762,14.608743319172,1552039502,4600842142,0.7297,245319132.27,1506745128.54
2021-12-22,1003016,欣贺股份,10.85,0.017824,0.19,0,10.71,10.66,11.1,10.7,52144.42,56640735.44,0.035814778972037,2.1720325568996,-0.18080888183981,0.037523452157599,14.869124297657,1579702495,4682845895,0.7297,245319132.27,1506745128.54
2021-12-23,1003016,欣贺股份,10.6,-0.023041,-0.25,0,10.85,10.85,10.85,10.58,37529.00,40043884,0.025776350375391,1.2189806153207,0.32191480017567,0.024884792626728,14.526517747019,1543303820,4574946220,0.7297,245319132.27,1506745128.54
2021-12-24,1003016,欣贺股份,10.38,-0.020755,-0.22,-0.00094339622641507,10.62,10.6,10.67,10.38,28472.08,29809194.07,0.019555711849401,0.86028764805415,0.62999185004075,0.027358490566038,14.225023982459,1511272986,4479994506,0.7297,245319132.27,1506745128.54
2021-12-27,1003016,欣贺股份,10.53,0.014451,0.15,0,10.39,10.38,10.6,10.32,27458.61,28782228.35,0.018859621950524,0.79496161061701,-0.17139001349528,0.026974951830443,14.430587912841,1533112191,4544734311,0.7297,245319132.27,1506745128.54
2021-12-28,1003016,欣贺股份,10.39,-0.013295,-0.14,0.0018993352326687,10.5,10.53,10.53,10.34,40643.12,42309681.12,0.027915246914895,1.1144138808458,-0.090167278661771,0.018043684710351,14.238728244484,1512728933,4484310493,0.7297,245319132.27,1506745128.54
2021-12-29,1003016,欣贺股份,10.34,-0.004812,-0.05,0,10.33,10.39,10.42,10.21,26394.00,27219399,0.018128407146689,0.70860180412371,0.18446601941748,0.020211742059673,14.170206934357,1505449198,4462730558,0.7297,245319132.27,1506745128.54
