日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,1002536,飞龙股份,8.66,-0.003452,-0.03,0.001150747986191,8.65,8.69,8.81,8.58,105543.78,91599661.42,0.021078747704563,0.44357159427891,0.26003931479921,0.026467203682394,20.233644859813,4336164309.24,4336164309.24,0.428,171410825.06,2434326942.97
2021-12-21,1002536,飞龙股份,8.87,0.024249,0.21,0.0011547344110854,8.64,8.66,8.94,8.5,174145.54,152662421.88,0.034779594795021,0.9902374811216,0.21771146206763,0.05080831408776,20.724299065421,4441313790.18,4441313790.18,0.428,171410825.06,2434326942.97
2021-12-22,1002536,飞龙股份,8.89,0.002255,0.02,0.0011273957158963,8.82,8.87,8.97,8.72,171300.18,151058518.99,0.034211331790146,0.97405801353786,-0.34611046233216,0.028184892897407,20.771028037383,4451328026.46,4451328026.46,0.428,171410825.06,2434326942.97
2021-12-23,1002536,飞龙股份,9.16,0.030371,0.27,-0.0011248593925759,8.86,8.89,9.26,8.72,322108.71,293253964.33,0.064330159783288,2.061627688172,-0.47382893057056,0.0607424071991,21.401869158879,4586520216.24,4586520216.24,0.428,171410825.06,2434326942.97
2021-12-27,1002536,飞龙股份,8.3,-0.03376,-0.29,0,8.49,8.59,8.49,8.22,172416.98,143558475.94,0.03443437426064,0.81179271756162,0.49689753479792,0.031431897555297,19.392523364486,4155908056.2,4155908056.2,0.428,171410825.06,2434326942.97
2021-12-28,1002536,飞龙股份,8.48,0.021687,0.18,-0.0012048192771084,8.25,8.3,8.51,8.24,100613.57,84336122.77,0.020094107465976,0.4456550067858,-0.41986123427951,0.032530120481928,19.81308411215,4246036182.72,4246036182.72,0.428,171410825.06,2434326942.97
2021-12-29,1002536,飞龙股份,8.53,0.005896,0.05,-0.0011792452830188,8.45,8.48,8.62,8.32,98701.54,83641505.86,0.019712245095939,0.46765037544111,-0.1973821210769,0.035377358490566,19.929906542056,4271071773.42,4271071773.42,0.428,171410825.06,2434326942.97
