日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,1000978,桂林旅游,5.04,-0.013699,-0.07,0,5.08,5.11,5.11,5.04,52715.00,26765228,0.014638989169675,1.0939082291615,-0.2809850441059,0.013698630136986,-7.6946564885496,1814904000,1814904000,-0.655,-97664886.79,203145360.72
2021-12-21,1000978,桂林旅游,5.34,0.059524,0.3,0,5.05,5.04,5.35,5.05,164989.99,86516626.83,0.045817825603999,3.4022483008347,-0.41551246537396,0.059523809523809,-8.1526717557252,1922934000,1922934000,-0.655,-97664886.79,203145360.72
2021-12-22,1000978,桂林旅游,5.3,-0.007491,-0.04,0.0037453183520598,5.34,5.34,5.43,5.27,104261.41,55554255.02,0.028953460149958,2.1499680375466,-0.1362569933225,0.029962546816479,-8.0916030534351,1908530000,1908530000,-0.655,-97664886.79,203145360.72
2021-12-23,1000978,桂林旅游,5.14,-0.030189,-0.16,0,5.29,5.3,5.34,5.13,104984.00,54469443,0.029154123854485,1.2828709406221,0.51325145442792,0.039622641509434,-7.8473282442748,1850914000,1850914000,-0.655,-97664886.79,203145360.72
2021-12-24,1000978,桂林旅游,5.18,0.007782,0.04,0,5.16,5.14,5.23,5.12,78809.01,40822134.15,0.021885312413219,0.82850803602967,0.015641878217337,0.021400778210117,-7.9083969465649,1865318000,1865318000,-0.655,-97664886.79,203145360.72
2021-12-27,1000978,桂林旅游,5.26,0.015444,0.08,-0.003861003861004,5.14,5.18,5.3,5.13,81661.97,42788484.16,0.022677581227437,0.80733215093564,-0.19202324352879,0.032818532818533,-8.030534351145,1894126000,1894126000,-0.655,-97664886.79,203145360.72
2021-12-28,1000978,桂林旅游,5.33,0.013308,0.07,0.0038022813688214,5.27,5.26,5.38,5.23,67688.00,35974452,0.018797000833102,0.6329577928393,-0.41097838452787,0.02851711026616,-8.1374045801527,1919333000,1919333000,-0.655,-97664886.79,203145360.72
2021-12-29,1000978,桂林旅游,5.4,0.013133,0.07,0.0018761726078801,5.31,5.33,5.45,5.25,90563.71,48728219.73,0.02514960011108,1.0352504572474,-0.54626721430297,0.037523452157599,-8.2442748091603,1944540000,1944540000,-0.655,-97664886.79,203145360.72
