日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,1002384,东山精密,25.73,-0.016061,-0.42,-0.0026768642447419,25.78,26.15,26.22,25.46,254749.39,657820460.47,0.014898781091219,0.63409487127408,-0.13713405238829,0.02906309751434,24.046728971963,43994886323.71,43994886323.71,1.07,1198049944.42,21807178008.52
2021-12-21,1002384,东山精密,27.13,0.054411,1.4,-0.0015546055188497,25.82,25.73,27.7,25.61,384170.23,1035767443.28,0.022467838523708,1.0118007709455,-0.74195628192274,0.081228138359891,25.355140186916,46388700581.51,46388700581.51,1.07,1198049944.42,21807178008.52
2021-12-22,1002384,东山精密,27.43,0.011058,0.3,-0.00036859565057138,27.13,27.13,28.11,26.97,477643.97,1320524580,0.027934563252813,1.2579853912248,-0.069702728597945,0.042019904165131,25.635514018692,46901660779.61,46901660779.61,1.07,1198049944.42,21807178008.52
2021-12-23,1002384,东山精密,27.2,-0.008385,-0.23,0.00036456434560693,27.46,27.43,28.08,27.09,387618.60,1062679210.19,0.02266951323528,1.0531282603026,0.24083034181364,0.036091870215093,25.420560747664,46508391294.4,46508391294.4,1.07,1198049944.42,21807178008.52
2021-12-24,1002384,东山精密,27.8,0.022059,0.6,-0.0018382352941177,27.33,27.2,28.37,27.31,421954.11,1178629729.23,0.024677593596711,1.1354573269181,-0.29685184515849,0.038970588235294,25.981308411215,47534311690.6,47534311690.6,1.07,1198049944.42,21807178008.52
2021-12-27,1002384,东山精密,27.2,-0.021583,-0.6,-0.0017985611510792,27.96,27.8,28.39,26.89,327821.54,903841488.78,0.019172337807938,0.85098409662474,-0.051053646214186,0.053956834532374,25.420560747664,46508391294.4,46508391294.4,1.07,1198049944.42,21807178008.52
2021-12-28,1002384,东山精密,26.97,-0.008456,-0.23,0.00036764705882346,27,27.2,27.76,26.78,227137.97,615240969.36,0.013283952878293,0.56807215386154,-0.43039080027406,0.036029411764706,25.205607476636,46115121809.19,46115121809.19,1.07,1198049944.42,21807178008.52
2021-12-29,1002384,东山精密,26.49,-0.017798,-0.48,0.00074156470152019,27.31,26.97,27.35,26.11,283512.47,750261184.78,0.016580963067902,0.76950763991124,0.25558312655087,0.045977011494253,24.757009345794,45294385492.23,45294385492.23,1.07,1198049944.42,21807178008.52
