日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,0600356,恒丰纸业,7.96,0.007595,0.06,0,7.92,7.9,8.26,7.78,142902.66,114484861,0.047836508155497,1.3701223019927,-0.14208511596487,0.060759493670886,17.688888888889,2377901768.88,2377901768.88,0.45,106871862.01,1495008237.82
2021-12-21,0600356,恒丰纸业,8,0.005025,0.04,-0.0012562814070351,7.81,7.96,8.03,7.66,95578.61,74902714,0.031994834503123,0.79864475751195,-0.50445151683542,0.046482412060301,17.777777777778,2389851024,2389851024,0.45,106871862.01,1495008237.82
2021-12-22,0600356,恒丰纸业,7.88,-0.015,-0.12,0,7.99,8,7.99,7.79,63185.45,49822090,0.021151259845225,0.52797093819981,0.10229007633588,0.025,17.511111111111,2354003258.64,2354003258.64,0.45,106871862.01,1495008237.82
2021-12-23,0600356,恒丰纸业,7.76,-0.015228,-0.12,0,7.9,7.88,7.93,7.72,50247.56,39030627,0.016820315407242,0.46609415466358,0.28163265306122,0.026649746192893,17.244444444444,2318155493.28,2318155493.28,0.45,106871862.01,1495008237.82
2021-12-24,0600356,恒丰纸业,7.8,0.007752,0.06,0,7.75,7.74,7.83,7.7,48824.72,37919635,0.016344021283228,0.49453371255399,-0.24126172208014,0.016795865633075,17.333333333333,2330104748.4,2330104748.4,0.45,106871862.01,1495008237.82
2021-12-27,0600356,恒丰纸业,7.75,-0.007682,-0.06,0,7.86,7.81,7.86,7.66,37459.76,29027933,0.012539613431569,0.46195972810055,0.35242416217378,0.025608194622279,17.222222222222,2315168179.5,2315168179.5,0.45,106871862.01,1495008237.82
2021-12-28,0600356,恒丰纸业,7.77,0.002581,0.02,0,7.74,7.75,7.81,7.7,33200.48,25760659,0.011113824139358,0.55688310991238,-0.035137701804368,0.014193548387097,17.266666666667,2321142807.06,2321142807.06,0.45,106871862.01,1495008237.82
2021-12-29,0600356,恒丰纸业,7.87,0.011568,0.09,0.0038560411311054,7.8,7.78,7.96,7.72,57671.69,45326869,0.019305534753701,1.2207198797731,-0.6413701897857,0.030848329048843,17.488888888889,2351015944.86,2351015944.86,0.45,106871862.01,1495008237.82
