日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,1300560,中富通,14.06,0.069202,0.91,0.0015209125475286,13.2,13.15,15.6,13.12,133270.20,193496703.34,0.070392660201559,5.5170640834575,-0.28081035453011,0.18859315589354,40.171428571429,2661895440,3181353556.72,0.35,42208609.4,614466628.98
2021-12-21,1300560,中富通,13.94,-0.008535,-0.12,0.0014224751066856,13.52,14.06,14.15,13.41,83078.10,114446889.2,0.043881441338658,1.7571510152284,0.73981659202389,0.052631578947368,39.828571428571,2639176560,3154201179.28,0.35,42208609.4,614466628.98
2021-12-22,1300560,中富通,14.16,0.015782,0.22,0,14.08,13.94,14.32,13.8,66485.33,93522292.6,0.035117222327861,1.4062041032149,-0.23302232195583,0.037302725968436,40.457142857143,2680827840,3203980537.92,0.35,42208609.4,614466628.98
2021-12-24,1300560,中富通,13.87,0.018355,0.25,-0.00073421439060217,13.64,13.62,14.06,13.42,52803.29,72777436.94,0.027890436500391,0.72794371470796,-0.096678192846211,0.046989720998532,39.628571428571,2625923880,3138362292.44,0.35,42208609.4,614466628.98
2021-12-27,1300560,中富通,13.69,-0.012978,-0.18,0.0050468637346792,13.8,13.87,13.89,13.5,30067.53,41029170.49,0.015881520567915,0.3926577289538,0.70305676855895,0.028118240807498,39.114285714286,2591845560,3097633726.28,0.35,42208609.4,614466628.98
2021-12-28,1300560,中富通,14.09,0.029218,0.4,0.00073046018991963,13.71,13.69,14.16,13.66,43117.22,60223186.63,0.022774302254336,0.77085335678938,-0.14963309089055,0.036523009495982,40.257142857143,2667575160,3188141651.08,0.35,42208609.4,614466628.98
2021-12-29,1300560,中富通,14.2,0.007807,0.11,0.00070972320794888,13.96,14.09,14.34,13.82,47257.43,66765775.31,0.024961140690034,0.98571264684288,-0.018121911037891,0.036905606813343,40.571428571429,2688400800,3213031330.4,0.35,42208609.4,614466628.98
