日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,0600488,天药股份,4.22,0.004762,0.02,0,4.2,4.2,4.26,4.18,50063.00,21216181,0.00454978288403,2.1480365908077,-0.7910094637224,0.019047619047619,-422,4643427288.4,4643462989.6,-0.01,53324553.17,2652590238.26
2021-12-21,0600488,天药股份,4.3,0.016548,0.07,0,4.23,4.23,4.31,4.22,53832.01,22984850,0.0048923148375233,1.8325166802832,-0.078506773945453,0.021276595744681,-430,4731454346,4731490724,-0.01,53324553.17,2652590238.26
2021-12-22,0600488,天药股份,4.31,0.002326,0.01,0,4.32,4.3,4.32,4.26,37758.53,16205424,0.0034315385318525,1.2853530092593,0.35431881138252,0.013953488372093,-431,4742457728.2,4742494190.8,-0.01,53324553.17,2652590238.26
2021-12-23,0600488,天药股份,4.24,-0.013953,-0.06,0,4.3,4.3,4.32,4.24,32302.29,13786306,0.0029356691799727,0.82068826219512,-0.26615969581749,0.018604651162791,-424,4665434052.8,4665469923.2,-0.01,53324553.17,2652590238.26
2021-12-24,0600488,天药股份,4.37,0.028235,0.12,0,4.24,4.25,4.65,4.23,205821.84,91050013,0.018705324986348,5.1089658048374,0.1333057052079,0.098823529411765,-437,4808478021.4,4808514991.6,-0.01,53324553.17,2652590238.26
2021-12-27,0600488,天药股份,4.45,0.018307,0.08,0.0045766590389017,4.35,4.37,4.51,4.31,147784.50,65672823,0.013430824933083,1.9289188046236,-0.35061204379626,0.045766590389016,-445,4896505079,4896542726,-0.01,53324553.17,2652590238.26
2021-12-28,0600488,天药股份,4.56,0.024719,0.11,0,4.53,4.45,4.75,4.51,186918.19,85828556,0.016987339583642,1.9448764931119,-0.038803346966232,0.053932584269663,-456,5017542283.2,5017580860.8,-0.01,53324553.17,2652590238.26
2021-12-29,0600488,天药股份,4.52,-0.002208,-0.01,-0.0044150110375277,4.53,4.53,4.6,4.45,109219.35,49525901,0.0099259798500865,0.88057396478328,-0.13766701696442,0.033112582781457,-452,4973528754.4,4973566993.6,-0.01,53324553.17,2652590238.26
