日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,1002644,佛慈制药,8.12,0.100271,0.74,0,7.39,7.38,8.12,7.38,192756.66,154031020.41,0.037746796773568,12.371422520025,1,0.10027100271003,53.456221198157,4146534840,4146534840,0.1519,73726937.56,664170475.25
2021-12-21,1002644,佛慈制药,8.32,0.024631,0.2,0,8,8.12,8.67,7.85,298790.79,246144840.74,0.058511053407669,6.0780238490456,-0.26859791425261,0.10098522167488,54.772876892693,4248666240,4248666240,0.1519,73726937.56,664170475.25
2021-12-22,1002644,佛慈制药,8.34,0.002404,0.02,0.0036057692307692,8.13,8.32,8.49,7.99,184769.02,152674983.49,0.036182607895319,3.7585847613468,-0.15288028371513,0.060096153846154,54.904542462146,4258879380,4258879380,0.1519,73726937.56,664170475.25
2021-12-23,1002644,佛慈制药,8.1,-0.028777,-0.24,-0.0011990407673861,8.32,8.34,8.32,8.08,118991.04,97191206.76,0.023301558580417,0.85170755170755,0.41118135614231,0.028776978417266,53.324555628703,4136321700,4136321700,0.1519,73726937.56,664170475.25
2021-12-24,1002644,佛慈制药,8.83,0.090123,0.73,0,8.14,8.1,8.91,8.06,357685.73,310401700,0.070044223421984,2.2143664690558,-0.12522546433466,0.10493827160494,58.130348913759,4509101310,4509101310,0.1519,73726937.56,664170475.25
2021-12-27,1002644,佛慈制药,9.71,0.09966,0.88,0,9,8.83,9.71,9,112578.70,106950947.13,0.022045854653907,0.48820582072258,1,0.080407701019253,63.923633969717,4958479470,4958479470,0.1519,73726937.56,664170475.25
2021-12-28,1002644,佛慈制药,9.57,-0.014418,-0.14,0.0020597322348094,10.33,9.71,10.51,9.4,485959.30,484913378.98,0.095163544218526,2.2648856463201,-0.35184283162851,0.11431513903193,63.001974983542,4886987490,4886987490,0.1519,73726937.56,664170475.25
2021-12-29,1002644,佛慈制药,9.29,-0.029258,-0.28,0.0020898641588296,9.68,9.57,10.26,9.2,390208.05,379985577.3,0.076412944500908,1.5484741376026,0.099758648431215,0.11076280041797,61.158657011192,4744003530,4744003530,0.1519,73726937.56,664170475.25
