日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,1002324,普利特,12.78,-0.026657,-0.35,0.0015232292460015,13.21,13.13,13.33,12.75,57263.59,74140338.28,0.0056469498018039,0.99811040228683,0.12026029282943,0.044173648134044,104.75409836066,12959716411.26,12959716411.26,0.122,84410347.51,3394127716.17
2021-12-21,1002324,普利特,12.92,0.010955,0.14,-0.001564945226917,12.8,12.78,13.13,12.65,56818.19,73200979.47,0.0056030274518129,1.1095915744907,0.1237938857844,0.037558685446009,105.90163934426,13101685135.64,13101685135.64,0.122,84410347.51,3394127716.17
2021-12-22,1002324,普利特,13.73,0.062693,0.81,-0.0046439628482971,13.12,12.92,13.85,13,123374.56,166639685.34,0.012166368667065,2.4093582052243,0.1965510484029,0.06578947368421,112.54098360656,13923075612.41,13923075612.41,0.122,84410347.51,3394127716.17
2021-12-23,1002324,普利特,13.65,-0.005827,-0.08,0.0036416605972324,13.88,13.73,13.94,13.49,62829.98,85867233.72,0.0061958697159634,0.94766184012066,0.35308918087783,0.032774945375091,111.88524590164,13841950627.05,13841950627.05,0.122,84410347.51,3394127716.17
2021-12-24,1002324,普利特,13.05,-0.043956,-0.6,0.0021978021978023,13.65,13.65,13.65,12.99,75221.84,99469622.51,0.007417871538954,1.0816314088185,0.74545228782517,0.048351648351648,106.96721311475,13233513236.85,13233513236.85,0.122,84410347.51,3394127716.17
2021-12-27,1002324,普利特,13.3,0.019157,0.25,0,13.05,13.05,13.67,12.86,63365.21,84402629.8,0.0062486504959044,0.84373548617325,0.019306143605095,0.062068965517241,109.01639344262,13487028816.1,13487028816.1,0.122,84410347.51,3394127716.17
2021-12-28,1002324,普利特,13.18,-0.009023,-0.12,-0.0015037593984962,13.32,13.3,13.55,13.1,38937.36,51680285.89,0.0038397403539451,0.51018553459119,0.6441979315523,0.033834586466165,108.03278688525,13365341338.06,13365341338.06,0.122,84410347.51,3394127716.17
2021-12-29,1002324,普利特,13.33,0.011381,0.15,0.00075872534142639,13.18,13.18,13.6,13.18,65651.14,88049273.9,0.0064740735257989,0.90249560101177,0.61464135500739,0.031866464339909,109.26229508197,13517450685.61,13517450685.61,0.122,84410347.51,3394127716.17
