日期,代码,名称,价格,涨跌幅,涨跌额,5分钟涨,今开,昨收,最高,最低,成交量,成交额,换手率,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
2021-12-20,0600549,厦门钨业,22.99,0.000871,0.02,0,23.03,22.97,23.34,22.61,225265.27,518732863,0.016021185505853,0.88999382874084,0.072549231768016,0.031780583369613,26.056896747138,32325002138,32610377008,0.8823,995376307.42,22172364604.85
2021-12-21,0600549,厦门钨业,23.11,0.00522,0.12,0,23,22.99,23.24,22.83,156193.27,360132676,0.011108686898055,0.63725720351983,0.48938113724595,0.017833840800348,26.192904907628,32493727682,32780592112,0.8823,995376307.42,22172364604.85
2021-12-22,0600549,厦门钨业,23.32,0.009087,0.21,0,23.11,23.11,23.43,23.05,182797.05,425449667,0.013000785464944,0.74579869474962,-0.043545878693624,0.016443098225876,26.430919188485,32788997384,33078468544,0.8823,995376307.42,22172364604.85
2021-12-23,0600549,厦门钨业,23.12,-0.009001,-0.21,0,23.6,23.33,23.7,23.06,197548.48,459477919,0.014049928089134,1.0353693920335,0.80068323487277,0.027432490355765,26.204238921002,32507788144,32794776704,0.8823,995376307.42,22172364604.85
2021-12-24,0600549,厦门钨业,22.2,-0.039792,-0.92,0,23.13,23.12,23.2,21.96,272152.16,608231502,0.019355847624353,1.397716422203,0.028021971359629,0.05363321799308,25.161509690581,31214225640,31489794240,0.8823,995376307.42,22172364604.85
2021-12-27,0600549,厦门钨业,22.17,0.000451,0.01,0.00045126353790621,22.08,22.16,22.36,21.81,112950.08,249820677,0.0080331698915726,0.54308980617069,0.56814897767502,0.024819494584838,25.127507650459,31172044254,31447240464,0.8823,995376307.42,22172364604.85
2021-12-28,0600549,厦门钨业,22.49,0.014434,0.32,0,22.22,22.17,22.55,22.11,158240.05,353882725,0.011254256794691,0.85488951917882,0.21178653472345,0.019846639603067,25.490196078431,31621979038,31901147408,0.8823,995376307.42,22172364604.85
2021-12-29,0600549,厦门钨业,22.38,-0.005333,-0.12,-0.00088888888888887,22.49,22.5,22.74,22.38,137647.24,310500709,0.0097896669398203,0.74055492429133,-0.25491006822411,0.016,25.365521931316,31467313956,31745116896,0.8823,995376307.42,22172364604.85
